RiskFactor,WheelBase,Length,Width,Height,CurbWeight,Price
1,93.1,159.1,64.2,54.1,1900,6095
1,93.1,159.1,64.2,54.1,1905,6795
1,93.1,166.8,64.2,54.1,1945,6695
1,93.1,166.8,64.2,54.1,1950,7395
1,98.8,177.8,66.5,53.7,2385,8845
1,98.8,177.8,66.5,53.7,2385,10595
1,112,199.2,72,55.4,3715,45400
1,102.7,178.4,68,54.8,2910,16503
1,93,157.3,63.8,50.8,2145,7689
1,96.3,172.4,65.4,51.6,2365,6989
1,96.3,172.4,65.4,51.6,2405,8189
1,96.3,172.4,65.4,51.6,2403,9279
1,94.5,165.3,63.8,54.5,1889,5499
1,94.5,165.3,63.8,54.5,2017,7099
1,94.5,165.3,63.8,54.5,1918,6649
1,94.5,165.3,63.8,54.5,1938,6849
1,94.5,170.2,63.8,53.5,2024,7349
1,94.5,165.3,63.8,54.5,1951,7299
1,94.5,165.6,63.8,53.3,2028,7799
1,94.5,165.3,63.8,54.5,1971,7499
1,94.5,170.2,63.8,53.5,2037,7999
1,99.2,178.5,67.9,49.7,3139,18399
1,93.7,157.3,63.8,50.8,1918,5572
1,93.7,157.3,63.8,50.8,2128,7957
1,93.7,157.3,63.8,50.6,1967,6229
1,93.7,167.3,63.8,50.8,1989,6692
1,93.7,167.3,63.8,50.8,2191,7609
1,95.7,158.7,63.6,54.5,1985,5348
1,95.7,158.7,63.6,54.5,2040,6338
1,95.7,158.7,63.6,54.5,2015,6488
1,94.5,168.7,64,52.6,2169,8058
1,94.5,168.7,64,52.6,2204,8238
1,94.5,168.7,64,52.6,2265,9298
1,94.5,168.7,64,52.6,2300,9538
2,99.8,176.6,66.2,54.3,2337,13950
2,99.4,176.6,66.4,54.3,2824,17450
2,99.8,177.3,66.3,53.1,2507,15250
2,101.2,176.8,64.8,54.3,2395,16430
2,88.4,141.1,60.3,53.2,1488,5151
2,86.6,144.6,63.9,50.8,1713,6479
2,86.6,144.6,63.9,50.8,1819,6855
2,96,172.6,65.2,51.4,2734,11048
2,93.7,157.3,64.4,50.8,1918,5389
2,93.7,157.3,64.4,50.8,1944,6189
2,93.7,157.3,64.4,50.8,2004,6669
2,95.1,162.4,63.8,53.3,2008,8249
2,96.1,176.8,66.6,50.5,2460,9895
2,99.1,186.6,66.5,56.1,2695,12170
2,99.1,186.6,66.5,56.1,2758,15510
2,99.1,186.6,66.5,56.1,2847,18620
2,93.7,156.9,63.4,53.7,2050,5118
2,93.7,157.9,63.6,53.7,2120,7053
2,93.3,157.3,63.8,55.7,2240,7603
2,98.4,176.2,65.6,52,2540,8449
2,98.4,176.2,65.6,52,2536,9639
2,98.4,176.2,65.6,52,2551,9989
2,98.4,176.2,65.6,52,2679,11199
2,98.4,176.2,65.6,52,2714,11549
2,98.4,176.2,65.6,53,2975,17669
2,97.3,171.7,65.5,55.7,2261,7775
2,97.3,171.7,65.5,55.7,2209,7975
2,97.3,171.7,65.5,55.7,2264,7995
2,97.3,171.7,65.5,55.7,2212,8195
2,97.3,171.7,65.5,55.7,2275,8495
2,97.3,171.7,65.5,55.7,2319,9495
2,97.3,171.7,65.5,55.7,2300,9995
3,88.6,168.8,64.1,48.8,2548,13495
3,88.6,168.8,64.1,48.8,2548,16500
3,95.9,173.2,66.3,50.2,2811,12964
3,95.3,169,65.7,49.6,2380,10945
3,95.3,169,65.7,49.6,2380,11845
3,95.3,169,65.7,49.6,2385,13645
3,95.3,169,65.7,49.6,2500,15645
3,96.6,180.3,70.5,50.8,3685,35056
3,96.3,173,65.4,49.4,2370,9959
3,96.3,173,65.4,49.4,2328,8499
3,95.9,173.2,66.3,50.2,2833,12629
3,95.9,173.2,66.3,50.2,2921,14869
3,95.9,173.2,66.3,50.2,2926,14489
3,91.3,170.7,67.9,49.7,3071,17199
3,91.3,170.7,67.9,49.7,3139,19699
3,95.9,173.2,66.3,50.2,2818,12764
3,94.5,168.9,68.3,50.2,2778,22018
3,89.5,168.9,65,51.6,2756,32528
3,89.5,168.9,65,51.6,2756,34028
3,89.5,168.9,65,51.6,2800,37028
3,99.1,186.6,66.5,56.1,2658,11850
3,99.1,186.6,66.5,56.1,2707,15040
3,99.1,186.6,66.5,56.1,2808,18150
3,102.9,183.5,67.7,52,2976,16558
3,102.9,183.5,67.7,52,3016,15998
3,94.5,159.3,64.2,55.6,2254,11595
3,94.5,165.7,64,51.4,2221,9980
